region	chr	midPos	Nsites
(8098,8597)(8100,8599)(8100,8600)	Mt	8350	501	0.102721
(8198,8697)(8200,8699)(8200,8700)	Mt	8450	501	0.111647
(8298,8797)(8300,8799)(8300,8800)	Mt	8550	501	0.108137
(8398,8897)(8400,8899)(8400,8900)	Mt	8650	501	0.122037
(8498,8997)(8500,8999)(8500,9000)	Mt	8750	501	0.120517
(8598,9097)(8600,9099)(8600,9100)	Mt	8850	501	0.100060
(8698,9197)(8700,9199)(8700,9200)	Mt	8950	501	0.096794
(8798,9297)(8800,9299)(8800,9300)	Mt	9050	501	0.107537
(8898,9397)(8900,9399)(8900,9400)	Mt	9150	501	0.097433
(8998,9497)(9000,9499)(9000,9500)	Mt	9250	501	0.098273
(9098,9597)(9100,9599)(9100,9600)	Mt	9350	501	0.106817
(9198,9697)(9200,9699)(9200,9700)	Mt	9450	501	0.102250
(9298,9797)(9300,9799)(9300,9800)	Mt	9550	501	0.095552
(9398,9897)(9400,9899)(9400,9900)	Mt	9650	501	0.093960
(9498,9997)(9500,9999)(9500,10000)	Mt	9750	501	0.098013
(9598,10097)(9600,10099)(9600,10100)	Mt	9850	501	0.102099
(9698,10197)(9700,10199)(9700,10200)	Mt	9950	501	0.109422
(9798,10297)(9800,10299)(9800,10300)	Mt	10050	501	0.116866
(9898,10397)(9900,10399)(9900,10400)	Mt	10150	501	0.116857
(9998,10497)(10000,10499)(10000,10500)	Mt	10250	501	0.118710
(10098,10597)(10100,10599)(10100,10600)	Mt	10350	501	0.107727
(10198,10697)(10200,10699)(10200,10700)	Mt	10450	501	0.100149
(10298,10797)(10300,10799)(10300,10800)	Mt	10550	501	0.088120
(10398,10897)(10400,10899)(10400,10900)	Mt	10650	501	0.099308
(10498,10997)(10500,10999)(10500,11000)	Mt	10750	501	0.099808
(10598,11097)(10600,11099)(10600,11100)	Mt	10850	501	0.116864
(10698,11197)(10700,11199)(10700,11200)	Mt	10950	501	0.116441
(10798,11297)(10800,11299)(10800,11300)	Mt	11050	501	0.130806
(10898,11397)(10900,11399)(10900,11400)	Mt	11150	501	0.119884
(10998,11497)(11000,11499)(11000,11500)	Mt	11250	501	0.114100
(11098,11597)(11100,11599)(11100,11600)	Mt	11350	501	0.103986
(11198,11697)(11200,11699)(11200,11700)	Mt	11450	501	0.106174
(11298,11797)(11300,11799)(11300,11800)	Mt	11550	501	0.090286
(11398,11897)(11400,11899)(11400,11900)	Mt	11650	501	0.095452
(11498,11997)(11500,11999)(11500,12000)	Mt	11750	501	0.090256
(11598,12097)(11600,12099)(11600,12100)	Mt	11850	501	0.087552
(11698,12197)(11700,12199)(11700,12200)	Mt	11950	501	0.087292
(11798,12297)(11800,12299)(11800,12300)	Mt	12050	501	0.096976
(11898,12397)(11900,12399)(11900,12400)	Mt	12150	501	0.091520
(11998,12497)(12000,12499)(12000,12500)	Mt	12250	501	0.095989
(12098,12597)(12100,12599)(12100,12600)	Mt	12350	501	0.096102
(12198,12697)(12200,12699)(12200,12700)	Mt	12450	501	0.096157
(12298,12797)(12300,12799)(12300,12800)	Mt	12550	501	0.092825
(12398,12897)(12400,12899)(12400,12900)	Mt	12650	501	0.097669
(12498,12997)(12500,12999)(12500,13000)	Mt	12750	501	0.095155
(12598,13097)(12600,13099)(12600,13100)	Mt	12850	501	0.111410
(12698,13197)(12700,13199)(12700,13200)	Mt	12950	501	0.117574
(12798,13297)(12800,13299)(12800,13300)	Mt	13050	501	0.110595
(12898,13397)(12900,13399)(12900,13400)	Mt	13150	501	0.104544
(12998,13497)(13000,13499)(13000,13500)	Mt	13250	501	0.107019
(13098,13597)(13100,13599)(13100,13600)	Mt	13350	501	0.093844
(13198,13697)(13200,13699)(13200,13700)	Mt	13450	501	0.095084
(13298,13797)(13300,13799)(13300,13800)	Mt	13550	501	0.103318
(13398,13897)(13400,13899)(13400,13900)	Mt	13650	501	0.110851
(13498,13997)(13500,13999)(13500,14000)	Mt	13750	501	0.105493
(13598,14097)(13600,14099)(13600,14100)	Mt	13850	501	0.110243
(13698,14197)(13700,14199)(13700,14200)	Mt	13950	501	0.106170
(13798,14297)(13800,14299)(13800,14300)	Mt	14050	501	0.112736
(13898,14397)(13900,14399)(13900,14400)	Mt	14150	501	0.114787
(13998,14497)(14000,14499)(14000,14500)	Mt	14250	501	0.121051
(14098,14597)(14100,14599)(14100,14600)	Mt	14350	501	0.119774
(14198,14697)(14200,14699)(14200,14700)	Mt	14450	501	0.119802
(14298,14797)(14300,14799)(14300,14800)	Mt	14550	501	0.119884
(14398,14897)(14400,14899)(14400,14900)	Mt	14650	501	0.116719
(14498,14997)(14500,14999)(14500,15000)	Mt	14750	501	0.115194
(14598,15097)(14600,15099)(14600,15100)	Mt	14850	501	0.113960
(14698,15197)(14700,15199)(14700,15200)	Mt	14950	501	0.109746
(14798,15297)(14800,15299)(14800,15300)	Mt	15050	501	0.107890
(14898,15397)(14900,15399)(14900,15400)	Mt	15150	501	0.107771
(14998,15497)(15000,15499)(15000,15500)	Mt	15250	501	0.115869
(15098,15597)(15100,15599)(15100,15600)	Mt	15350	501	0.113224
(15198,15697)(15200,15699)(15200,15700)	Mt	15450	501	0.115644
(15298,15797)(15300,15799)(15300,15800)	Mt	15550	501	0.107869
(15398,15897)(15400,15899)(15400,15900)	Mt	15650	501	0.115611
(15498,15997)(15500,15999)(15500,16000)	Mt	15750	501	0.100974
(15598,16097)(15600,16099)(15600,16100)	Mt	15850	501	0.098855
(15698,16197)(15700,16199)(15700,16200)	Mt	15950	501	0.102250
(15798,16297)(15800,16299)(15800,16300)	Mt	16050	501	0.102894
(15898,16397)(15900,16399)(15900,16400)	Mt	16150	501	0.094550
(15998,16497)(16000,16499)(16000,16500)	Mt	16250	501	0.095843
(16098,16597)(16100,16599)(16100,16600)	Mt	16350	501	0.099534
(16198,16697)(16200,16699)(16200,16700)	Mt	16450	501	0.090528
(16298,16797)(16300,16799)(16300,16800)	Mt	16550	501	0.091971
(16398,16897)(16400,16899)(16400,16900)	Mt	16650	501	0.084600
(16498,16997)(16500,16999)(16500,17000)	Mt	16750	501	0.098571
(16598,17097)(16600,17099)(16600,17100)	Mt	16850	501	0.105214
(16698,17197)(16700,17199)(16700,17200)	Mt	16950	501	0.110863
(16798,17297)(16800,17299)(16800,17300)	Mt	17050	501	0.113946
(16898,17397)(16900,17399)(16900,17400)	Mt	17150	501	0.122878
(16998,17497)(17000,17499)(17000,17500)	Mt	17250	501	0.117921
(17098,17597)(17100,17599)(17100,17600)	Mt	17350	501	0.116489
(17198,17697)(17200,17699)(17200,17700)	Mt	17450	501	0.123419
(17298,17797)(17300,17799)(17300,17800)	Mt	17550	501	0.125479
(17398,17897)(17400,17899)(17400,17900)	Mt	17650	501	0.116945
(17498,17997)(17500,17999)(17500,18000)	Mt	17750	501	0.115236
(17598,18097)(17600,18099)(17600,18100)	Mt	17850	501	0.113879
(17698,18197)(17700,18199)(17700,18200)	Mt	17950	501	0.113476
(17798,18297)(17800,18299)(17800,18300)	Mt	18050	501	0.110621
(17898,18397)(17900,18399)(17900,18400)	Mt	18150	501	0.119361
(17998,18497)(18000,18499)(18000,18500)	Mt	18250	501	0.118212
(18098,18597)(18100,18599)(18100,18600)	Mt	18350	501	0.122659
(18198,18697)(18200,18699)(18200,18700)	Mt	18450	501	0.116930
(18298,18797)(18300,18799)(18300,18800)	Mt	18550	501	0.111558
(18398,18897)(18400,18899)(18400,18900)	Mt	18650	501	0.113816
(18498,18997)(18500,18999)(18500,19000)	Mt	18750	501	0.116197
(18598,19097)(18600,19099)(18600,19100)	Mt	18850	501	0.112250
(18698,19197)(18700,19199)(18700,19200)	Mt	18950	501	0.108679
(18798,19297)(18800,19299)(18800,19300)	Mt	19050	501	0.118618
(18898,19397)(18900,19399)(18900,19400)	Mt	19150	501	0.104757
(18998,19497)(19000,19499)(19000,19500)	Mt	19250	501	0.109485
(19098,19597)(19100,19599)(19100,19600)	Mt	19350	501	0.100070
(19198,19697)(19200,19699)(19200,19700)	Mt	19450	501	0.106531
(19298,19797)(19300,19799)(19300,19800)	Mt	19550	501	0.100371
(19398,19897)(19400,19899)(19400,19900)	Mt	19650	501	0.111102
(19498,19997)(19500,19999)(19500,20000)	Mt	19750	501	0.103965
(19598,20097)(19600,20099)(19600,20100)	Mt	19850	501	0.112439
(19698,20197)(19700,20199)(19700,20200)	Mt	19950	501	0.110787
(19798,20297)(19800,20299)(19800,20300)	Mt	20050	501	0.113890
(19898,20397)(19900,20399)(19900,20400)	Mt	20150	501	0.112254
(19998,20497)(20000,20499)(20000,20500)	Mt	20250	501	0.122459
(20098,20597)(20100,20599)(20100,20600)	Mt	20350	501	0.119459
(20198,20697)(20200,20699)(20200,20700)	Mt	20450	501	0.121166
(20298,20797)(20300,20799)(20300,20800)	Mt	20550	501	0.124833
(20398,20897)(20400,20899)(20400,20900)	Mt	20650	501	0.121073
(20498,20997)(20500,20999)(20500,21000)	Mt	20750	501	0.117107
(20598,21097)(20600,21099)(20600,21100)	Mt	20850	501	0.123082
(20698,21197)(20700,21199)(20700,21200)	Mt	20950	501	0.122142
(20798,21297)(20800,21299)(20800,21300)	Mt	21050	501	0.123030
(20898,21397)(20900,21399)(20900,21400)	Mt	21150	501	0.128856
(20998,21497)(21000,21499)(21000,21500)	Mt	21250	501	0.128904
(21098,21597)(21100,21599)(21100,21600)	Mt	21350	501	0.121693
(21198,21697)(21200,21699)(21200,21700)	Mt	21450	501	0.126591
(21298,21797)(21300,21799)(21300,21800)	Mt	21550	501	0.119158
(21398,21897)(21400,21899)(21400,21900)	Mt	21650	501	0.112457
(21498,21997)(21500,21999)(21500,22000)	Mt	21750	501	0.109398
(21598,22097)(21600,22099)(21600,22100)	Mt	21850	501	0.113310
(21698,22197)(21700,22199)(21700,22200)	Mt	21950	501	0.110543
(21798,22297)(21800,22299)(21800,22300)	Mt	22050	501	0.110684
(21898,22397)(21900,22399)(21900,22400)	Mt	22150	501	0.109078
(21998,22497)(22000,22499)(22000,22500)	Mt	22250	501	0.113118
(22098,22597)(22100,22599)(22100,22600)	Mt	22350	501	0.111558
(22198,22697)(22200,22699)(22200,22700)	Mt	22450	501	0.102672
(22298,22797)(22300,22799)(22300,22800)	Mt	22550	501	0.100591
(22398,22897)(22400,22899)(22400,22900)	Mt	22650	501	0.108991
(22498,22997)(22500,22999)(22500,23000)	Mt	22750	501	0.102731
(22598,23097)(22600,23099)(22600,23100)	Mt	22850	501	0.103471
(22698,23197)(22700,23199)(22700,23200)	Mt	22950	501	0.116503
(22798,23297)(22800,23299)(22800,23300)	Mt	23050	501	0.118478
(22898,23397)(22900,23399)(22900,23400)	Mt	23150	501	0.110667
(22998,23497)(23000,23499)(23000,23500)	Mt	23250	501	0.105588
(23098,23597)(23100,23599)(23100,23600)	Mt	23350	501	0.109500
(23198,23697)(23200,23699)(23200,23700)	Mt	23450	501	0.100981
(23298,23797)(23300,23799)(23300,23800)	Mt	23550	501	0.100117
(23398,23897)(23400,23899)(23400,23900)	Mt	23650	501	0.108375
(23498,23997)(23500,23999)(23500,24000)	Mt	23750	501	0.116396
(23598,24097)(23600,24099)(23600,24100)	Mt	23850	501	0.112829
(23698,24197)(23700,24199)(23700,24200)	Mt	23950	501	0.107540
(23798,24297)(23800,24299)(23800,24300)	Mt	24050	501	0.103568
(23898,24397)(23900,24399)(23900,24400)	Mt	24150	501	0.099603
(23998,24497)(24000,24499)(24000,24500)	Mt	24250	501	0.096711
(24098,24597)(24100,24599)(24100,24600)	Mt	24350	501	0.097152
(24198,24697)(24200,24699)(24200,24700)	Mt	24450	501	0.108461
(24298,24797)(24300,24799)(24300,24800)	Mt	24550	501	0.116475
(24398,24897)(24400,24899)(24400,24900)	Mt	24650	501	0.114785
(24498,24997)(24500,24999)(24500,25000)	Mt	24750	501	0.112383
(24598,25097)(24600,25099)(24600,25100)	Mt	24850	501	0.112180
(24698,25197)(24700,25199)(24700,25200)	Mt	24950	501	0.106714
(24798,25297)(24800,25299)(24800,25300)	Mt	25050	501	0.101400
(24898,25397)(24900,25399)(24900,25400)	Mt	25150	501	0.108564
(24998,25497)(25000,25499)(25000,25500)	Mt	25250	501	0.113170
(25098,25597)(25100,25599)(25100,25600)	Mt	25350	501	0.118321
(25198,25697)(25200,25699)(25200,25700)	Mt	25450	501	0.116936
(25298,25797)(25300,25799)(25300,25800)	Mt	25550	501	0.114465
(25398,25897)(25400,25899)(25400,25900)	Mt	25650	501	0.115855
(25498,25997)(25500,25999)(25500,26000)	Mt	25750	501	0.116320
(25598,26097)(25600,26099)(25600,26100)	Mt	25850	501	0.114719
(25698,26197)(25700,26199)(25700,26200)	Mt	25950	501	0.116415
(25798,26297)(25800,26299)(25800,26300)	Mt	26050	501	0.123525
(25898,26397)(25900,26399)(25900,26400)	Mt	26150	501	0.113659
(25998,26497)(26000,26499)(26000,26500)	Mt	26250	501	0.115536
(26098,26597)(26100,26599)(26100,26600)	Mt	26350	501	0.106640
(26198,26697)(26200,26699)(26200,26700)	Mt	26450	501	0.111270
(26298,26797)(26300,26799)(26300,26800)	Mt	26550	501	0.102830
(26398,26897)(26400,26899)(26400,26900)	Mt	26650	501	0.102810
(26498,26997)(26500,26999)(26500,27000)	Mt	26750	501	0.110272
(26598,27097)(26600,27099)(26600,27100)	Mt	26850	501	0.115247
(26698,27197)(26700,27199)(26700,27200)	Mt	26950	501	0.115363
(26798,27297)(26800,27299)(26800,27300)	Mt	27050	501	0.124072
(26898,27397)(26900,27399)(26900,27400)	Mt	27150	501	0.120942
(26998,27497)(27000,27499)(27000,27500)	Mt	27250	501	0.109853
(27098,27597)(27100,27599)(27100,27600)	Mt	27350	501	0.110936
(27198,27697)(27200,27699)(27200,27700)	Mt	27450	501	0.102011
(27298,27797)(27300,27799)(27300,27800)	Mt	27550	501	0.099366
(27398,27897)(27400,27899)(27400,27900)	Mt	27650	501	0.107740
(27498,27997)(27500,27999)(27500,28000)	Mt	27750	501	0.116708
(27598,28097)(27600,28099)(27600,28100)	Mt	27850	501	0.114337
(27698,28197)(27700,28199)(27700,28200)	Mt	27950	501	0.120541
(27798,28297)(27800,28299)(27800,28300)	Mt	28050	501	0.117463
(27898,28397)(27900,28399)(27900,28400)	Mt	28150	501	0.121668
(27998,28497)(28000,28499)(28000,28500)	Mt	28250	501	0.109658
(28098,28597)(28100,28599)(28100,28600)	Mt	28350	501	0.109535
(28198,28697)(28200,28699)(28200,28700)	Mt	28450	501	0.109628
(28298,28797)(28300,28799)(28300,28800)	Mt	28550	501	0.108793
(28398,28897)(28400,28899)(28400,28900)	Mt	28650	501	0.096957
(28498,28997)(28500,28999)(28500,29000)	Mt	28750	501	0.102699
(28598,29097)(28600,29099)(28600,29100)	Mt	28850	501	0.098792
(28698,29197)(28700,29199)(28700,29200)	Mt	28950	501	0.094941
(28798,29297)(28800,29299)(28800,29300)	Mt	29050	501	0.094133
(28898,29397)(28900,29399)(28900,29400)	Mt	29150	501	0.103272
(28998,29497)(29000,29499)(29000,29500)	Mt	29250	501	0.098065
(29098,29597)(29100,29599)(29100,29600)	Mt	29350	501	0.103209
(29198,29697)(29200,29699)(29200,29700)	Mt	29450	501	0.102394
(29298,29797)(29300,29799)(29300,29800)	Mt	29550	501	0.104218
(29398,29897)(29400,29899)(29400,29900)	Mt	29650	501	0.106614
(29498,29997)(29500,29999)(29500,30000)	Mt	29750	501	0.115733
(29598,30097)(29600,30099)(29600,30100)	Mt	29850	501	0.116499
(29698,30197)(29700,30199)(29700,30200)	Mt	29950	501	0.117858
(29798,30297)(29800,30299)(29800,30300)	Mt	30050	501	0.120404
(29898,30397)(29900,30399)(29900,30400)	Mt	30150	501	0.111225
(29998,30497)(30000,30499)(30000,30500)	Mt	30250	501	0.116499
(30098,30597)(30100,30599)(30100,30600)	Mt	30350	501	0.115294
(30198,30697)(30200,30699)(30200,30700)	Mt	30450	501	0.118275
(30298,30797)(30300,30799)(30300,30800)	Mt	30550	501	0.115550
(30398,30897)(30400,30899)(30400,30900)	Mt	30650	501	0.113507
(30498,30997)(30500,30999)(30500,31000)	Mt	30750	501	0.106780
(30598,31097)(30600,31099)(30600,31100)	Mt	30850	501	0.112317
(30698,31197)(30700,31199)(30700,31200)	Mt	30950	501	0.101896
(30798,31297)(30800,31299)(30800,31300)	Mt	31050	501	0.103091
(30898,31397)(30900,31399)(30900,31400)	Mt	31150	501	0.108084
(30998,31497)(31000,31499)(31000,31500)	Mt	31250	501	0.097796
(31098,31597)(31100,31599)(31100,31600)	Mt	31350	501	0.082516
(31198,31697)(31200,31699)(31200,31700)	Mt	31450	501	0.087507
(31298,31797)(31300,31799)(31300,31800)	Mt	31550	501	0.083361
(31398,31897)(31400,31899)(31400,31900)	Mt	31650	501	0.081753
(31498,31997)(31500,31999)(31500,32000)	Mt	31750	501	0.081845
(31598,32097)(31600,32099)(31600,32100)	Mt	31850	501	0.094485
(31698,32197)(31700,32199)(31700,32200)	Mt	31950	501	0.087620
(31798,32297)(31800,32299)(31800,32300)	Mt	32050	501	0.090941
(31898,32397)(31900,32399)(31900,32400)	Mt	32150	501	0.100160
(31998,32497)(32000,32499)(32000,32500)	Mt	32250	501	0.122573
(32098,32597)(32100,32599)(32100,32600)	Mt	32350	501	0.123265
(32198,32697)(32200,32699)(32200,32700)	Mt	32450	501	0.135332
(32298,32797)(32300,32799)(32300,32800)	Mt	32550	501	0.126086
(32398,32897)(32400,32899)(32400,32900)	Mt	32650	501	0.117259
(32498,32997)(32500,32999)(32500,33000)	Mt	32750	501	0.101733
(32598,33097)(32600,33099)(32600,33100)	Mt	32850	501	0.093749
(32698,33197)(32700,33199)(32700,33200)	Mt	32950	501	0.082879
(32798,33297)(32800,33299)(32800,33300)	Mt	33050	501	0.090937
(32898,33397)(32900,33399)(32900,33400)	Mt	33150	501	0.090448
(32998,33497)(33000,33499)(33000,33500)	Mt	33250	501	0.083564
(33098,33597)(33100,33599)(33100,33600)	Mt	33350	501	0.088526
(33198,33697)(33200,33699)(33200,33700)	Mt	33450	501	0.107039
(33298,33797)(33300,33799)(33300,33800)	Mt	33550	501	0.112972
(33398,33897)(33400,33899)(33400,33900)	Mt	33650	501	0.112845
(33498,33997)(33500,33999)(33500,34000)	Mt	33750	501	0.124196
(33598,34097)(33600,34099)(33600,34100)	Mt	33850	501	0.118552
(33698,34197)(33700,34199)(33700,34200)	Mt	33950	501	0.103281
(33798,34297)(33800,34299)(33800,34300)	Mt	34050	501	0.100124
(33898,34397)(33900,34399)(33900,34400)	Mt	34150	501	0.108721
(33998,34497)(34000,34499)(34000,34500)	Mt	34250	501	0.095856
(34098,34597)(34100,34599)(34100,34600)	Mt	34350	501	0.100831
(34198,34697)(34200,34699)(34200,34700)	Mt	34450	501	0.106877
(34298,34797)(34300,34799)(34300,34800)	Mt	34550	501	0.111510
(34398,34897)(34400,34899)(34400,34900)	Mt	34650	501	0.112138
(34498,34997)(34500,34999)(34500,35000)	Mt	34750	501	0.118662
(34598,35097)(34600,35099)(34600,35100)	Mt	34850	501	0.119758
(34698,35197)(34700,35199)(34700,35200)	Mt	34950	501	0.126233
(34798,35297)(34800,35299)(34800,35300)	Mt	35050	501	0.120869
(34898,35397)(34900,35399)(34900,35400)	Mt	35150	501	0.109838
(34998,35497)(35000,35499)(35000,35500)	Mt	35250	501	0.114491
(35098,35597)(35100,35599)(35100,35600)	Mt	35350	501	0.112077
(35198,35697)(35200,35699)(35200,35700)	Mt	35450	501	0.101503
(35298,35797)(35300,35799)(35300,35800)	Mt	35550	501	0.106918
(35398,35897)(35400,35899)(35400,35900)	Mt	35650	501	0.106562
(35498,35997)(35500,35999)(35500,36000)	Mt	35750	501	0.100099
(35598,36097)(35600,36099)(35600,36100)	Mt	35850	501	0.098125
(35698,36197)(35700,36199)(35700,36200)	Mt	35950	501	0.103536
(35798,36297)(35800,36299)(35800,36300)	Mt	36050	501	0.104453
(35898,36397)(35900,36399)(35900,36400)	Mt	36150	501	0.106518
(35998,36497)(36000,36499)(36000,36500)	Mt	36250	501	0.104140
(36098,36597)(36100,36599)(36100,36600)	Mt	36350	501	0.109679
(36198,36697)(36200,36699)(36200,36700)	Mt	36450	501	0.107282
(36298,36797)(36300,36799)(36300,36800)	Mt	36550	501	0.096114
(36398,36897)(36400,36899)(36400,36900)	Mt	36650	501	0.089940
(36498,36997)(36500,36999)(36500,37000)	Mt	36750	501	0.090238
(36598,37097)(36600,37099)(36600,37100)	Mt	36850	501	0.091402
(36698,37197)(36700,37199)(36700,37200)	Mt	36950	501	0.093410
(36798,37297)(36800,37299)(36800,37300)	Mt	37050	501	0.092483
(36898,37397)(36900,37399)(36900,37400)	Mt	37150	501	0.096084
(36998,37497)(37000,37499)(37000,37500)	Mt	37250	501	0.099605
(37098,37597)(37100,37599)(37100,37600)	Mt	37350	501	0.090151
(37198,37697)(37200,37699)(37200,37700)	Mt	37450	501	0.092582
(37298,37797)(37300,37799)(37300,37800)	Mt	37550	501	0.094575
(37398,37897)(37400,37899)(37400,37900)	Mt	37650	501	0.103022
(37498,37997)(37500,37999)(37500,38000)	Mt	37750	501	0.101164
(37598,38097)(37600,38099)(37600,38100)	Mt	37850	501	0.112766
(37698,38197)(37700,38199)(37700,38200)	Mt	37950	501	0.118652
(37798,38297)(37800,38299)(37800,38300)	Mt	38050	501	0.130663
(37898,38397)(37900,38399)(37900,38400)	Mt	38150	501	0.126916
(37998,38497)(38000,38499)(38000,38500)	Mt	38250	501	0.127518
(38098,38597)(38100,38599)(38100,38600)	Mt	38350	501	0.125106
(38198,38697)(38200,38699)(38200,38700)	Mt	38450	501	0.115370
(38298,38797)(38300,38799)(38300,38800)	Mt	38550	501	0.103428
(38398,38897)(38400,38899)(38400,38900)	Mt	38650	501	0.098896
(38498,38997)(38500,38999)(38500,39000)	Mt	38750	501	0.102807
(38598,39097)(38600,39099)(38600,39100)	Mt	38850	501	0.094251
(38698,39197)(38700,39199)(38700,39200)	Mt	38950	501	0.096930
(38798,39297)(38800,39299)(38800,39300)	Mt	39050	501	0.102085
(38898,39397)(38900,39399)(38900,39400)	Mt	39150	501	0.103775
